"skill_name","definition","youtube_link","resume_bullet_template"
"python","A versatile high‑level programming language known for readability and broad applicability.","https://www.youtube.com/watch?v=rfscVS0vtbw","Developed [Project Name] using Python to [do X], improving [Metric or outcome]."
"java","A class‑based, object‑oriented programming language designed for cross-platform portability.","https://www.youtube.com/watch?v=A74TOX803D0","Implemented [Feature] in [Project Name] with Java, enhancing [Metric] by [Y%]."
"c++","A powerful systems programming language offering fine-grained memory management and performance.","https://www.youtube.com/watch?v=ZzaPdXTrSb8","Built [Project Name] in C++ to [achieve X], resulting in [Metric]."
"c#","A modern, object‑oriented language developed by Microsoft, widely used for Windows apps and game development.","https://www.youtube.com/watch?v=YrtFtdTTfv0","Created [Project Name] in C# for [purpose], improving [Metric] by [Y%]."
"javascript","The essential scripting language for interactive web development, running in all modern browsers.","https://www.youtube.com/watch?v=PkZNo7MFNFg","Implemented dynamic UI in [Project Name] using JavaScript, leading to [Metric]."
"typescript","A superset of JavaScript that adds static typing to help build scalable and maintainable codebases.","https://www.youtube.com/watch?v=d56mG7DezGs","Developed [Project Name] using TypeScript, increasing code reliability and reducing [Type of bugs] by [X%]."
"go","A statically typed, compiled language created by Google, optimized for concurrency and simple syntax.","https://www.youtube.com/watch?v=yyUHQIec83I","Developed [Project Name] backend in Go, improving performance by [Metric]."
"ruby","A dynamic, interpreted scripting language focused on simplicity and programmer happiness.","https://www.youtube.com/watch?v=3PohVjMxOl0","Built [Project Name] using Ruby, streamlining [Process] and improving [Metric]."
"swift","Apple's modern language for iOS/macOS development, emphasizing safety and performance.","https://www.youtube.com/watch?v=rfvtcYVuBi8","Developed [Project Name] iOS app in Swift, increasing user engagement by [Metric]."
"kotlin","A modern, statically typed language interoperable with Java, officially supported for Android development.","https://www.youtube.com/watch?v=EJvQ4H0R2aE","Built [Project Name] Android app in Kotlin, reducing code bugs and increasing maintainability."
"django","A high-level Python web framework that enables rapid development and clean, pragmatic design.","https://www.youtube.com/watch?v=rHux0gMZ3Eg","Built [Project Name] with Django, implementing [Feature] and improving [Metric]."
"flask","A lightweight Python web microframework ideal for simple APIs and web applications.","https://www.youtube.com/watch?v=Z1RJmh_OqeA","Created [Project Name] using Flask to deliver [Functionality], reducing development time.",""
"fastapi","A high-performance Python framework for building APIs with automatic docs and async support.","https://www.youtube.com/watch?v=iWS9ogMPOI0","Developed and deployed a REST API with FastAPI for [Project Name], improving response times by [Metric]."
"spring boot","A Java framework that simplifies creating production-ready Spring-based applications.","https://www.youtube.com/watch?v=gJrjgg1KVL4","Designed [Project Name] backend using Spring Boot, enhancing scalability by [Metric]."
