name,category,full_description,required_skills
"Front-End Developer (React)","Front-End Development","We are seeking a creative Front-End Developer to build beautiful and responsive user interfaces for our web applications using React. You will be responsible for bringing our UI/UX designs to life and working closely with our back-end teams to create seamless user experiences. Key responsibilities include developing new user-facing features, building reusable components, and optimizing applications for maximum speed.","html,css,javascript,typescript,react,redux,git,rest api"
"Front-End Developer (Angular)","Front-End Development","Our team is looking for a Front-End Developer with strong experience in Angular to develop complex single-page applications. You will work on creating a scalable and maintainable codebase while ensuring high performance and responsiveness of the application.","html,css,javascript,typescript,angular,git,rest api"
"Back-End Developer (Python/Django)","Back-End Development","We are looking for a Back-End Developer to be the backbone of our web services using Python and Django. You will be responsible for designing, building, and maintaining the server-side logic, APIs, and databases that power our applications. This role requires a strong understanding of server architecture and data management.","python,django,rest api,postgresql,docker,git,sql"
"Back-End Developer (Java/Spring)","Back-End Development","Join our enterprise team to build scalable Java-based microservices. You will work with the Spring ecosystem to deliver robust and high-performance applications, focusing on clean code and SOLID principles. You will manage database interactions and build secure APIs.","java,spring boot,mysql,rest api,microservices,maven,git,sql"
"Back-End Developer (Node.js)","Back-End Development","We are hiring a Back-End Developer proficient in Node.js and the Express framework. You will be building fast and efficient server-side applications, working with asynchronous programming, and integrating with NoSQL databases like MongoDB.","javascript,typescript,nodejs,express.js,mongodb,rest api,git"
"Full-Stack Developer (MERN)","Full-Stack Development","We are looking for a Full-Stack Developer to work on our MERN (MongoDB, Express, React, Node.js) stack. You will be responsible for developing both front-end and back-end components of our web application, ensuring a seamless end-to-end experience.","javascript,react,nodejs,express.js,mongodb,rest api,git"
"iOS Developer","Mobile Development","We are hiring an iOS Developer to create and maintain our suite of applications for Apple devices. You will be part of a dedicated mobile team, focusing on delivering a high-quality, intuitive user experience on the iOS platform using Swift and SwiftUI.","swift,swiftui,xcode,ios sdk,rest api,git"
"Android Developer","Mobile Development","Our mobile team is looking for an Android Developer to build and enhance our application for the Android platform. You will be working with Kotlin, Jetpack Compose, and modern Android development practices to create a best-in-class user experience.","kotlin,java,android sdk,rest api,git,sqlite"
"Data Analyst","Data & Analytics","We are looking for a Data Analyst to translate complex data sets into actionable business insights. You will be responsible for collecting data, performing analysis, and creating dashboards and reports using tools like SQL, Python, and Tableau to help guide our strategy.","sql,python,pandas,excel,tableau,power bi,statistics,data analysis"
"Data Scientist","Data & Analytics","Join our team as a Data Scientist to build and deploy machine learning models that solve real-world problems. You will work with large datasets, apply statistical analysis, and use your expertise in Python and ML frameworks like Scikit-learn and TensorFlow.","python,sql,pandas,scikit-learn,tensorflow,pytorch,machine learning,deep learning,statistics"
"Data Engineer","Data & Analytics","We are seeking a Data Engineer to build and manage our data pipelines, making data accessible for our analytics and data science teams. You will be responsible for creating a reliable infrastructure for data extraction, transformation, and loading (ETL) using tools like Apache Spark and AWS services.","python,sql,aws,gcp,docker,data analysis,etl"
"Machine Learning Engineer","Data & Analytics","We are looking for a Machine Learning Engineer to design and deploy production-ready ML models. You will work at the intersection of software engineering and data science, focusing on creating scalable and efficient machine learning systems on cloud platforms.","python,sql,machine learning,deep learning,tensorflow,pytorch,aws,docker,kubernetes"
"DevOps Engineer","Cloud & DevOps","Our team is seeking an experienced DevOps Engineer to build and maintain our cloud infrastructure and automate our development pipelines. You will be responsible for ensuring the reliability, scalability, and security of our systems using tools like Docker, Kubernetes, and Terraform.","aws,gcp,docker,kubernetes,ci/cd,jenkins,terraform,ansible,python,bash,linux"
"Cloud Architect","Cloud & DevOps","We are hiring a Cloud Architect to lead the design and implementation of our cloud computing strategy. You will be responsible for creating a secure, scalable, and resilient cloud environment on AWS, making high-level decisions about our infrastructure.","aws,gcp,azure,networking,cybersecurity,terraform,docker,kubernetes"
"Site Reliability Engineer (SRE)","Cloud & DevOps","We are looking for an SRE to focus on the reliability and performance of our production systems. You will work on automation, monitoring, and incident response to ensure our services are always available and performant.","linux,python,bash,aws,docker,kubernetes,networking,monitoring"
"Cybersecurity Analyst","Cybersecurity","We are seeking a Cybersecurity Analyst to protect our computer systems and networks from threats. You will be responsible for monitoring our security infrastructure, identifying vulnerabilities, and responding to security incidents using various security tools.","cybersecurity,networking,tcp/ip,firewalls,penetration testing,encryption,linux,python"
"UI/UX Designer","Design & Product","We are looking for a talented UI/UX Designer to create amazing user experiences. You will translate high-level requirements into interaction flows and artifacts, and transform them into beautiful, intuitive, and functional user interfaces using tools like Figma.","ui,ux,figma,sketch,wireframing,prototyping"
"Technical Project Manager","Management","We are hiring a Technical Project Manager to lead our software development projects from conception to launch. You will be responsible for creating project plans and coordinating with teams using Agile and Scrum methodologies.","project management,agile,scrum,jira,confluence,communication"
"Product Manager","Management","We are looking for a Product Manager to own the product vision and roadmap. You will work with stakeholders, conduct market research, and define product requirements to guide the development team in building features that delight our users.","product management,agile,scrum,jira,user research,data analysis"
"QA Automation Engineer","Quality Assurance","Join our QA team to design and develop automated tests for our web applications. You will be responsible for creating test plans, writing test scripts using Selenium or Cypress, and integrating them into our CI/CD pipeline to ensure product quality.","testing,selenium,jira,sql,python,javascript,ci/cd"
