name,category,full_description,required_skills
Software Developer,Full Stack Development,"We are looking for a Software Developer responsible for building scalable applications across the stack. You will work on both frontend and backend development, integrating APIs, managing databases, and contributing to the software development lifecycle including testing and deployment.","python,java,javascript,html,css,react,nodejs,git,sql,rest api"
Software Engineer,Software Engineering,"Join our engineering team as a Software Engineer to design, develop, and maintain robust software systems. You will apply object-oriented programming principles, algorithms, and data structures to build efficient and scalable solutions, while ensuring quality through automated testing and CI/CD.","java,python,c++,oop,data structures,algorithms,git,unit testing,ci/cd"
Front-End Developer (React),Front-End Development,We are seeking a creative Front-End Developer to build beautiful and responsive user interfaces for our web applications using React. You will be responsible for bringing our UI/UX designs to life and working closely with our back-end teams to create seamless user experiences.,"html,css,javascript,typescript,react,redux,git,rest api"
Back-End Developer (Python/Django),Back-End Development,"We are looking for a Back-End Developer to be the backbone of our web services using Python and Django. You will be responsible for designing, building, and maintaining the server-side logic, APIs, and databases that power our applications.","python,django,rest api,postgresql,docker,git,sql"
Full Stack Developer (MERN),Full Stack Development,"Join our team as a Full Stack Developer to build scalable web applications using the MERN stack. You will develop RESTful APIs, manage MongoDB databases, and create responsive interfaces with React.","mongodb,express,react,nodejs,javascript,html,css,git,docker"
DevOps Engineer,DevOps & Infrastructure,We are hiring a DevOps Engineer to automate and streamline our infrastructure and CI/CD pipelines. You will work closely with development teams to ensure reliable deployment and monitoring.,"linux,docker,kubernetes,jenkins,ansible,terraform,aws,git,ci/cd"
Data Scientist,Data & AI,"As a Data Scientist, you'll be responsible for analyzing complex datasets to uncover insights and build predictive models. You will work with cross-functional teams to develop data-driven solutions.","python,pandas,numpy,scikit-learn,matplotlib,seaborn,tensorflow,pytorch,sql"
Machine Learning Engineer,Data & AI,"Join our AI team as a Machine Learning Engineer to build and deploy scalable ML models. You will work with large datasets, fine-tune algorithms, and ensure robust model performance in production.","python,tensorflow,pytorch,scikit-learn,mlops,airflow,docker,aws"
Mobile App Developer (Flutter),Mobile Development,We are looking for a Flutter Developer to build cross-platform mobile applications with smooth UI/UX and excellent performance. You will collaborate with designers and backend developers to bring features to life.,"flutter,dart,rest api,git,android,ios,firebase"
Android Developer (Kotlin),Mobile Development,"We are seeking an Android Developer proficient in Kotlin to develop robust and responsive mobile applications. You will focus on native Android development, performance optimization, and feature integration.","kotlin,android studio,rest api,sqlite,git,material design"
Data Analyst,Data & AI,"We are looking for a Data Analyst to help interpret data, identify trends, and generate actionable insights. You will use tools like Excel, SQL, and BI platforms to support business decisions.","excel,sql,python,tableau,power bi,data visualization,data cleaning"
UI/UX Designer,Design & Creative,"As a UI/UX Designer, you will design user-centric interfaces and improve user experiences across our platforms. You will conduct user research, create wireframes, and collaborate with developers.","figma,adobe xd,sketch,user research,prototyping,html,css"
QA Engineer,Testing & QA,"We are hiring a QA Engineer to design and execute test cases, report bugs, and ensure the reliability of our applications through both manual and automated testing.","manual testing,automation testing,selenium,junit,postman,sql,git"
Cloud Engineer (AWS),DevOps & Infrastructure,"Join our infrastructure team as a Cloud Engineer with expertise in AWS. You'll be responsible for provisioning resources, managing deployments, and ensuring scalability and security.","aws,ec2,s3,lambda,cloudformation,terraform,docker,linux,monitoring"
Cybersecurity Specialist,Security & Compliance,"We are looking for a Cybersecurity Specialist to protect our infrastructure from threats. You'll manage firewalls, perform vulnerability assessments, and enforce security policies.","network security,firewalls,siem,wireshark,nmap,penetration testing,linux,aws"
Business Intelligence (BI) Developer,Data & AI,"As a BI Developer, you will develop dashboards and reports to provide insights for stakeholders using BI tools. You should have strong data modeling and visualization skills.","power bi,tableau,sql,ssrs,data modeling,dax,data visualization"
Front-End Developer (Angular),Front-End Development,Our team is looking for a Front-End Developer with strong experience in Angular to develop complex single-page applications. You will ensure high performance and responsiveness of the application.,"html,css,javascript,typescript,angular,git,rest api"
